t(s); x(m); y(m); z(m)
0;0;-1;0
0.01;0.031415224;-0.999861828;-0.01884844
0.02;0.062826231;-0.999447334;-0.037690183
0.03;0.094228805;-0.998756593;-0.056518534
0.04;0.125618732;-0.997789724;-0.075326806
0.05;0.156991798;-0.996546896;-0.094108313
0.06;0.188343794;-0.995028328;-0.112856385
0.07;0.219670511;-0.993234284;-0.131564359
0.08;0.250967748;-0.991165077;-0.150225589
0.09;0.282231304;-0.988821071;-0.168833445
0.1;0.313456987;-0.986202674;-0.187381315
0.11;0.344640607;-0.983310345;-0.205862609
0.12;0.375777984;-0.980144589;-0.224270761
0.13;0.406864942;-0.97670596;-0.242599231
0.14;0.437897315;-0.97299506;-0.260841506
0.15;0.468870942;-0.969012537;-0.278991106
0.16;0.499781676;-0.964759088;-0.297041582
0.17;0.530625374;-0.960235457;-0.31498652
0.18;0.561397907;-0.955442435;-0.332819545
0.19;0.592095154;-0.950380861;-0.35053432
0.2;0.622713008;-0.945051621;-0.368124553
0.21;0.653247372;-0.939455647;-0.385583992
0.22;0.683694162;-0.933593917;-0.402906436
0.23;0.714049307;-0.927467459;-0.420085728
0.24;0.744308752;-0.921077345;-0.437115767
0.25;0.774468454;-0.914424692;-0.4539905
0.26;0.804524385;-0.907510666;-0.470703932
0.27;0.834472534;-0.900336477;-0.487250126
0.28;0.864308905;-0.892903381;-0.503623202
0.29;0.894029521;-0.88521268;-0.519817343
0.3;0.92363042;-0.877265721;-0.535826795
0.31;0.953107659;-0.869063896;-0.551645871
0.32;0.982457314;-0.860608642;-0.567268949
0.33;1.01167548;-0.851901441;-0.58269048
0.34;1.040758272;-0.842943818;-0.597904983
0.35;1.069701825;-0.833737343;-0.612907054
0.36;1.098502294;-0.82428363;-0.627691361
0.37;1.127155859;-0.814584337;-0.642252653
0.38;1.155658718;-0.804641165;-0.656585756
0.39;1.184007095;-0.794455856;-0.670685577
0.4;1.212197235;-0.784030199;-0.684547106
0.41;1.240225409;-0.773366022;-0.698165419
0.42;1.26808791;-0.762465196;-0.711535677
0.43;1.295781057;-0.751329634;-0.72465313
0.44;1.323301195;-0.739961292;-0.737513117
0.45;1.350644696;-0.728362165;-0.75011107
0.46;1.377807956;-0.716534291;-0.762442511
0.47;1.4047874;-0.704479747;-0.77450306
0.48;1.43157948;-0.692200651;-0.786288432
0.49;1.458180676;-0.67969916;-0.79779444
0.5;1.484587499;-0.666977472;-0.809016994
0.51;1.510796486;-0.654037825;-0.819952109
0.52;1.536804205;-0.640882492;-0.830595899
0.53;1.562607256;-0.627513789;-0.840944582
0.54;1.588202267;-0.613934067;-0.850994482
0.55;1.6135859;-0.600145717;-0.860742027
0.56;1.638754846;-0.586151164;-0.870183755
0.57;1.663705832;-0.571952875;-0.87931631
0.58;1.688435614;-0.557553348;-0.888136449
0.59;1.712940983;-0.542955122;-0.896641037
0.6;1.737218765;-0.528160769;-0.904827052
0.61;1.761265817;-0.513172896;-0.912691587
0.62;1.785079035;-0.497994148;-0.920231847
0.63;1.808655347;-0.4826272;-0.927445153
0.64;1.831991717;-0.467074764;-0.934328942
0.65;1.855085145;-0.451339586;-0.940880769
0.66;1.87793267;-0.435424444;-0.947098305
0.67;1.900531366;-0.419332147;-0.952979342
0.68;1.922878342;-0.403065541;-0.958521789
0.69;1.94497075;-0.386627499;-0.963723678
0.7;1.966805777;-0.370020927;-0.968583161
0.71;1.988380649;-0.353248763;-0.973098511
0.72;2.009692631;-0.336313975;-0.977268124
0.73;2.030739028;-0.319219559;-0.981090517
0.74;2.051517186;-0.301968542;-0.984564335
0.75;2.072024488;-0.28456398;-0.987688341
0.76;2.092258362;-0.267008958;-0.990461426
0.77;2.112216273;-0.249306587;-0.992882605
0.78;2.131895731;-0.231460007;-0.994951017
0.79;2.151294284;-0.213472383;-0.996665928
0.8;2.170409525;-0.19534691;-0.998026728
0.81;2.189239089;-0.177086805;-0.999032935
0.82;2.207780654;-0.158695313;-0.999684189
0.83;2.22603194;-0.140175702;-0.999980261
0.84;2.243990711;-0.121531266;-0.999921044
0.85;2.261654776;-0.102765321;-0.99950656
0.86;2.279021987;-0.083881208;-0.998736957
0.87;2.29609024;-0.06488229;-0.997612506
0.88;2.312857478;-0.04577195;-0.996133609
0.89;2.329321687;-0.026553597;-0.99430079
0.9;2.3454809;-0.007230658;-0.992114701
0.91;2.361333193;0.01219342;-0.989576119
0.92;2.376876692;0.031715169;-0.986685944
0.93;2.392109565;0.0513311;-0.983445205
0.94;2.40703003;0.071037708;-0.979855052
0.95;2.42163635;0.090831469;-0.975916762
0.96;2.435926834;0.11070884;-0.971631733
0.97;2.449899841;0.130666263;-0.967001488
0.98;2.463553775;0.150700162;-0.962027672
0.99;2.47688709;0.170806945;-0.956712052
1;2.489898285;0.190983006;-0.951056516
1.01;2.50258591;0.211224723;-0.945063075
1.02;2.514948561;0.23152846;-0.938733858
1.03;2.526984885;0.251890569;-0.932071112
1.04;2.538693575;0.272307386;-0.925077207
1.05;2.550073376;0.292775238;-0.917754626
1.06;2.561123079;0.313290438;-0.910105971
1.07;2.571841526;0.333849289;-0.902133959
1.08;2.582227608;0.354448082;-0.893841424
1.09;2.592280267;0.375083099;-0.885231311
1.1;2.601998491;0.395750614;-0.87630668
1.11;2.611381322;0.416446889;-0.867070701
1.12;2.62042785;0.437168181;-0.857526656
1.13;2.629137215;0.457910737;-0.847677936
1.14;2.637508607;0.478670799;-0.83752804
1.15;2.645541268;0.499444603;-0.827080574
1.16;2.653234488;0.520228376;-0.816339251
1.17;2.66058761;0.541018343;-0.805307886
1.18;2.667600026;0.561810724;-0.793990399
1.19;2.674271179;0.582601735;-0.782390811
1.2;2.680600563;0.603387588;-0.770513243
1.21;2.686587722;0.624164494;-0.758361915
1.22;2.692232251;0.64492866;-0.745941145
1.23;2.697533798;0.665676292;-0.733255346
1.24;2.702492058;0.686403597;-0.720309025
1.25;2.707106781;0.707106781;-0.707106781
1.26;2.711377766;0.72778205;-0.693653306
1.27;2.715304862;0.74842561;-0.679953379
1.28;2.71888797;0.769033671;-0.666011867
1.29;2.722127043;0.789602445;-0.651833725
1.3;2.725022084;0.810128145;-0.63742399
1.31;2.727573147;0.83060699;-0.62278778
1.32;2.729780336;0.851035201;-0.607930298
1.33;2.731643807;0.871409006;-0.59285682
1.34;2.733163766;0.891724637;-0.577572703
1.35;2.734340472;0.911978332;-0.562083378
1.36;2.735174232;0.932166337;-0.546394347
1.37;2.735665405;0.952284904;-0.530511184
1.38;2.735814399;0.972330292;-0.514439534
1.39;2.735621676;0.992298771;-0.498185105
1.4;2.735087744;1.012186619;-0.481753674
1.41;2.734213165;1.031990123;-0.465151078
1.42;2.732998549;1.051705581;-0.448383216
1.43;2.731444556;1.071329302;-0.431456046
1.44;2.729551898;1.090857607;-0.414375581
1.45;2.727321335;1.110286828;-0.397147891
1.46;2.724753676;1.12961331;-0.379779096
1.47;2.721849783;1.148833413;-0.362275367
1.48;2.718610563;1.167943508;-0.344642923
1.49;2.715036975;1.186939983;-0.32688803
1.5;2.711130027;1.205819241;-0.309016994
1.51;2.706890774;1.224577699;-0.291036167
1.52;2.702320323;1.243211792;-0.272951936
1.53;2.697419825;1.261717972;-0.254770726
1.54;2.692190483;1.280092707;-0.236498997
1.55;2.686633546;1.298332483;-0.218143241
1.56;2.680750313;1.316433808;-0.199709981
1.57;2.674542128;1.334393204;-0.181205764
1.58;2.668010385;1.352207218;-0.162637165
1.59;2.661156524;1.369872414;-0.144010783
1.6;2.65398203;1.387385378;-0.125333234
1.61;2.646488439;1.404742718;-0.106611154
1.62;2.63867733;1.421941062;-0.087851197
1.63;2.630550329;1.438977064;-0.069060026
1.64;2.622109109;1.455847398;-0.050244318
1.65;2.613355387;1.472548764;-0.031410759
1.66;2.604290927;1.489077885;-0.01256604
1.67;2.594917536;1.505431509;0.006283144
1.68;2.585237067;1.521606409;0.025130095
1.69;2.575251418;1.537599386;0.043968118
1.7;2.564962531;1.553407264;0.06279052
1.71;2.55437239;1.569026897;0.081590612
1.72;2.543483025;1.584455165;0.100361715
1.73;2.532296507;1.599688976;0.11909716
1.74;2.52081495;1.614725267;0.137790291
1.75;2.509040513;1.629561004;0.156434465
1.76;2.496975394;1.644193182;0.175023059
1.77;2.484621834;1.658618826;0.193549468
1.78;2.471982116;1.672834993;0.21200711
1.79;2.459058563;1.686838768;0.230389427
1.8;2.445853538;1.700627271;0.248689887
1.81;2.432369447;1.714197652;0.266901989
1.82;2.418608732;1.727547092;0.285019262
1.83;2.404573878;1.74067281;0.30303527
1.84;2.390267407;1.753572052;0.32094361
1.85;2.375691881;1.766242102;0.33873792
1.86;2.360849897;1.778680278;0.356411879
1.87;2.345744094;1.790883932;0.373959206
1.88;2.330377146;1.80285045;0.391373667
