t_interpolado,tray_x_interpolado,tray_y_interpolado,tray_z_interpolado
0.0,0.0,-1.0,0.0
0.01,0.0313924282297708,-0.9998569613761505,-0.018755764861878455
0.02,0.06278077379872583,-0.9994286486575696,-0.03750534541436465
0.03,0.09416095404604931,-0.9987162665737079,-0.056242557348066304
0.04,0.12552888631092546,-0.9977210198540167,-0.07496121635359118
0.05,0.1568804879325385,-0.9964441132279468,-0.09365513812154698
0.06,0.18821167625007265,-0.9948867514249492,-0.11231813834254145
0.07,0.21951836860271218,-0.9930501391744746,-0.13094403270718233
0.08,0.2507964823296412,-0.9909354812059742,-0.14952663690607737
0.09,0.282041934770044,-0.9885439822488991,-0.16805976662983427
0.1,0.313250643263105,-0.9858768470326997,-0.1865372375690608
0.11,0.344418525148008,-0.9829352802868276,-0.20495286541436467
0.12,0.37554149776393764,-0.9797204867407333,-0.2233004658563536
0.13,0.40661547845007795,-0.9762336711238679,-0.24157385458563538
0.14,0.43763638454561316,-0.9724760381656825,-0.25976684729281774
0.15,0.4686001333897274,-0.9684487925956278,-0.2778732596685083
0.16,0.49950264232160496,-0.9641531391431548,-0.29588690740331497
0.17,0.5303398286804303,-0.9595902825377145,-0.31380160618784536
0.18,0.5611076098053873,-0.9547614275087578,-0.3316111717127072
0.19,0.5918019030356605,-0.9496677787857358,-0.3493094196685083
0.2,0.6224186257104337,-0.9443105410980993,-0.3668901657458564
0.21,0.6529536951688916,-0.9386909191752995,-0.3843472256353591
0.22,0.683403028750218,-0.9328101177467868,-0.40167441502762435
0.23,0.7137625437935975,-0.9266693415420127,-0.4188655496132597
0.24,0.7440281576382141,-0.9202697952904281,-0.43591444508287297
0.25,0.7741957876232519,-0.9136126837214835,-0.4528149171270719
0.26,0.8042613510878954,-0.9066992115646303,-0.4695607814364641
0.27,0.8342207653713288,-0.8995305835493193,-0.4861458537016576
0.28,0.8640699478127362,-0.8921080044050014,-0.5025639496132598
0.29,0.8938048157513017,-0.8844326788611278,-0.5188088848618785
0.3,0.9234212865262099,-0.876505811647149,-0.5348744751381215
0.31,0.9529152774766448,-0.8683286074925164,-0.5507545361325967
0.32,0.9822827059417906,-0.8599022711266806,-0.5664428835359117
0.33,1.0115194892608317,-0.8512280072790928,-0.5819333330386741
0.34,1.040621544772952,-0.8423070206792037,-0.5972197003314919
0.35,1.0695847898173358,-0.8331405160564647,-0.6122958011049724
0.36,1.0984051417331675,-0.8237296981403263,-0.6271554510497238
0.37,1.1270785178596314,-0.8140757716602396,-0.6417924658563536
0.38,1.1556008355359115,-0.8041799413456554,-0.6562006612154697
0.39,1.1839680121011922,-0.794043411926025,-0.6703738528176797
0.4,1.2121759648946573,-0.7836673881307991,-0.6843058563535912
0.41,1.2402206112554914,-0.7730530746894287,-0.6979904875138122
0.42,1.268097868522879,-0.7622016763313649,-0.7114215619889502
0.43,1.295803654036004,-0.7511143977860583,-0.7245928954696133
0.44,1.3233338851340506,-0.7397924437829602,-0.737498303646409
0.45,1.350684479156203,-0.7282370190515213,-0.7501316022099448
0.46,1.3778513534416454,-0.7164493283211927,-0.7624866068508288
0.47,1.4048304253295618,-0.7044305763214255,-0.7745571332596685
0.48,1.431617612159137,-0.6921819677816702,-0.7863369971270718
0.49,1.458208831269555,-0.6797047074313781,-0.7978200141436464
0.5,1.4846,-0.667,-0.809
0.51,1.510787283950472,-0.6540693750640196,-0.8198716194961327
0.52,1.5367678417642336,-0.6409156615880516,-0.8304329338696134
0.53,1.5625390803453647,-0.6275420133837426,-0.8406828534674035
0.54,1.5880984065979435,-0.6139515842627402,-0.8506202886364641
0.55,1.613443227426049,-0.6001475280366915,-0.860244149723757
0.56,1.63857094973376,-0.5861329985172434,-0.8695533470762432
0.57,1.6634789804251553,-0.5719111495160434,-0.878546791040884
0.58,1.688164726404314,-0.5574851348447382,-0.8872233919646408
0.59,1.7126255945753153,-0.5428581083149753,-0.8955820601944752
0.6,1.7368589918422372,-0.5280332237384019,-0.903621706077348
0.61,1.7608623251091595,-0.5130136349266647,-0.911341239960221
0.62,1.7846330012801606,-0.49780249569141133,-0.9187395721900552
0.63,1.8081684272593195,-0.4824029598442888,-0.9258156131138121
0.64,1.8314660099507152,-0.4668181811969442,-0.932568273078453
0.65,1.8545231562584261,-0.45105131356102457,-0.9389964624309393
0.66,1.8773372730865314,-0.4351055107481773,-0.945099091518232
0.67,1.8999057673391102,-0.4189839265700494,-0.9508750706872929
0.68,1.922226045920241,-0.402689714838288,-0.9563233102850828
0.69,1.9442955157340027,-0.38622602936454054,-0.9614427206585635
0.7,1.9661115836844745,-0.36959602396045377,-0.9662322121546961
0.71,1.9876716566757355,-0.35280285243767484,-0.9706906951204419
0.72,2.0089731416118637,-0.3358496686078512,-0.9748170799027625
0.73,2.0300134453969387,-0.31873962628262975,-0.9786102768486187
0.74,2.0507899749350393,-0.30147587927365777,-0.9820691963049724
0.75,2.071300137130244,-0.2840615813925824,-0.9851927486187845
0.76,2.0915413388866315,-0.26649988645105077,-0.9879798441370166
0.77,2.1115109871082822,-0.24879394826071,-0.9904293932066297
0.78,2.131206488699273,-0.2309469206332073,-0.9925403061745857
0.79,2.150625250563684,-0.21296195738018975,-0.9943114933878452
0.8,2.169764679605594,-0.1948422123133045,-0.9957418651933702
0.81,2.1886221827290804,-0.1765908392441988,-0.9968303319381214
0.82,2.207195166838224,-0.1582109919845199,-0.9975758039690608
